TABLE_NAME,TABLE_COMMENT,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,COLUMN_KEY,IS_NULLABLE,COLUMN_DEFAULT,EXTRA,COLUMN_COMMENT
admin,,admin_id,varchar,varchar(10),PRI,NO,NULL,,
admin,,admin_password,text,text,,YES,NULL,,
charge,,charge_id,int,int,PRI,NO,NULL,auto_increment,
charge,,kind,varchar,varchar(15),,YES,NULL,,
charge,,time,time,time,,YES,NULL,,
charge,,type,varchar,varchar(3),,YES,NULL,,
charge,,cost,int,int,,YES,NULL,,
charge,,day,varchar,varchar(3),,YES,NULL,,
grade,,total,int,int,,YES,NULL,,
grade,,grade,varchar,varchar(4),PRI,NO,NULL,,
movie,,movie_id,int,int,PRI,NO,NULL,,
movie,,title,tinytext,tinytext,,YES,NULL,,
movie,,url,text,text,,YES,NULL,,
movie,,running_time,time,time,,YES,NULL,,
movie,,age,int,int,,YES,NULL,,
play_info,,play_info_id,int,int,PRI,NO,NULL,auto_increment,
play_info,,movie_id,int,int,MUL,NO,NULL,,
play_info,,theater_id,int,int,MUL,NO,NULL,,
play_info,,start_date,datetime,datetime,,YES,NULL,,
play_info,,end_date,datetime,datetime,,YES,NULL,,
reservation,,reservation_id,int,int,PRI,NO,NULL,auto_increment,
reservation,,payment,int,int,,YES,NULL,,
reservation,,discount,int,int,,YES,0,,
reservation,,date,datetime,datetime,,YES,NULL,,
reservation,,play_info_id,int,int,MUL,NO,NULL,,
reservation,,phone,varchar,varchar(11),MUL,NO,NULL,,
reservation,,saving,int,int,,YES,0,,
reservation_detail,,detail_id,int,int,PRI,NO,NULL,auto_increment,
reservation_detail,,reservation_id,int,int,MUL,NO,NULL,,
reservation_detail,,seat,varchar,varchar(3),,YES,NULL,,
theater,,theater_id,int,int,PRI,NO,NULL,,
theater,,kind,varchar,varchar(20),,YES,NULL,,
theater,,seat,int,int,,NO,NULL,,
theater,,section,varchar,varchar(15),,YES,NULL,,
user,,phone,varchar,varchar(11),PRI,NO,NULL,,
